"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"4061660411","9870","15 Aug 2018 06:02","3031","50:31","Team A","Fnatic","Bane Tiny Enigma Gyrocopter Io","Team Liquid","Crystal Maiden Earthshaker Pugna Broodmother Spectre","Team B"
"4061671194","9870","15 Aug 2018 06:11","1735","28:55","Team B","PSG.LGD","Lina Lion Wraith King Gyrocopter Io","OG","Vengeful Spirit Warlock Weaver Skywrath Mage Monkey King","Team A"
"4061721528","9870","15 Aug 2018 07:08","2810","46:50","Team B","PSG.LGD","Lion Necrophos Wraith King Gyrocopter Io","OG","Earthshaker Morphling Nature's Prophet Invoker Silencer","Team B"
"4061971770","9870","15 Aug 2018 11:52","2621","43:41","Team B","Invictus Gaming","Lina Beastmaster Leshrac Gyrocopter Io","Evil Geniuses","Tiny Wraith King Chen Invoker Phoenix","Team A"
"4061977166","9870","16 Aug 2018 12:01","1840","30:40","Team B","Winstrike","Tiny Vengeful Spirit Windranger Clockwerk Gyrocopter","Mineski","Crystal Maiden Storm Spirit Tidehunter Enchantress Troll Warlord","Team B"
"4062099038","9870","16 Aug 2018 03:35","2361","39:21","Team A","Mineski","Vengeful Spirit Clinkz Gyrocopter Io Timbersaw","Evil Geniuses","Crystal Maiden Weaver Alchemist Bristleback Earth Spirit","Team B"
"4063202564","9870","16 Aug 2018 07:01","1991","33:11","Team A","Team Secret","Wraith King Gyrocopter Undying Io Ember Spirit","Virtus.pro","Templar Assassin Chen Spectre Shadow Demon Disruptor","Team A"
"4063439681","9870","16 Aug 2018 11:07","2063","34:23","Team A","Vici Gaming","Bane Lina Batrider Gyrocopter Io","Team Serenity","Mirana Windranger Clinkz Ursa Silencer","Team A"
"4063477071","9870","16 Aug 2018 11:55","2972","49:32","Team A","Virtus.pro","Bane Tiny Dragon Knight Gyrocopter Io","TNC Predator","Mirana Phantom Lancer Vengeful Spirit Timbersaw Dark Willow","Team B"
"4063481435","9870","17 Aug 2018 12:02","1746","29:06","Team B","Newbee","Earthshaker Templar Assassin Dragon Knight Gyrocopter Silencer","OpTic Gaming","Lion Venomancer Nature's Prophet Weaver Ursa","Team B"
